chamber,district,name,party,israel_stance,confidence,rationale
assembly,1,Tommy John Schiavoni,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,2,Jodi Giglio,Republican,support,inferred,"Signed the bipartisan ""New York Legislators Stand with Israel"" solidarity letter in October 2023, demonstrating support for Israel following the Oct 7 attacks."
assembly,3,Joe DeStefano,Republican,support,inferred,"As part of the Assembly Minority Conference, called for the release of hostages held in Gaza following Oct 7 attacks. Republican member who has aligned with pro-Israel positions."
assembly,4,Rebecca Kassay,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,5,Doug Smith,Republican,support,inferred,"Signed the bipartisan ""New York Legislators Stand with Israel"" solidarity letter in October 2023 condemning the Oct 7 attacks and pledging solidarity with Israel."
assembly,6,Phil Ramos,Democratic,neutral,inferred,"As Deputy Speaker, joined AG James's multiracial coalition statement that condemned the Oct 7 massacre by Hamas while simultaneously calling for humanitarian aid to Gaza and highlighting the humanitarian catastrophe there, representing a balanced position."
assembly,7,Jarett Gandolfo,Republican,neutral,unknown,No public Israel-related statements found after web research
assembly,8,Michael J. Fitzpatrick,Republican,support,inferred,"Signed the bipartisan ""New York Legislators Stand with Israel"" solidarity letter in October 2023 condemning the Oct 7 attacks and pledging solidarity with Israel."
assembly,9,Michael Durso,Republican,neutral,unknown,No public Israel-related statements found after web research
assembly,10,Steve Stern,Democratic,strongly_support,inferred,Signed the Israel solidarity letter and released a separate statement condemning the Oct 7 Hamas attacks. Has been a consistent vocal supporter of Israel throughout his tenure.
assembly,11,Kwani B. O'Pharrow,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,12,Keith P. Brown,Republican,strongly_support,inferred,Signed the Israel solidarity letter and has made additional public statements declaring full support for Israel and solidarity with the Jewish community.
assembly,13,Charles D. Lavine,Democratic,strongly_support,inferred,"Authored and organized the ""New York Legislators Stand with Israel"" solidarity letter. Serves as President of the NY Chapter of the National Association of Jewish Legislators and is described as ""a staunch voice for the Jewish community and for the state of Israel."""
assembly,14,David G. McDonough,Republican,strongly_support,inferred,"Signed the Israel solidarity letter and has made explicit public statements that ""Israel is our closest ally in the Middle East and has the absolute right to both exist and defend itself."""
assembly,15,Jake Blumencranz,Republican,strongly_support,inferred,"Signed the Israel solidarity letter, introduced the United Against Hate Act to combat antisemitism, hosted the Israeli Consul General at the State Capitol, and has been vocally critical of anti-Israel protests and the BDS movement."
assembly,16,Daniel J. Norber,Republican,strongly_support,inferred,"Former IDF soldier (served as staff sergeant in military police), raised in Israel, grandchild of Holocaust survivors. Ran explicitly on combating antisemitism and supporting Israel. Proposed mask ban targeting anti-Israel protest tactics."
assembly,17,John K. Mikulin,Republican,support,inferred,Has spoken out against Iran's attacks on Israel and supports the Combating Campus Anti-Semitism Act. Republican member aligned with pro-Israel positions.
assembly,18,Noah Burroughs,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,19,Edward P. Ra,Republican,strongly_support,inferred,"Assembly Minority Leader who introduced the ""Dismantling Student Antisemitism Act"" requiring colleges to implement antisemitism training. Has been vocal against antisemitism on campuses and supportive of Israel."
assembly,20,Ari Brown,Republican,strongly_support,inferred,"First Republican Orthodox Jew elected to the Assembly. Signed the Israel solidarity letter, hosted the Israeli Consul General, and has explicitly stated he will ""stand shoulder to shoulder with Israel."""
assembly,21,Judy Griffin,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,22,Michaelle C. Solages,Democratic,support,inferred,"Signed the bipartisan ""New York Legislators Stand with Israel"" solidarity letter in October 2023. First person of Haitian descent in the NY State Legislature; chairs the Black, Puerto Rican, Hispanic and Asian Legislative Caucus."
assembly,23,Stacey Pheffer Amato,Democratic,strongly_support,inferred,"Self-described ""proud Zionist"" who signed the solidarity letter, participated in a state visit to Israel, visited a kibbutz near the Gaza border, and has chanted ""Am Yisrael Chai"" in response to pro-Palestinian protesters."
assembly,24,David I. Weprin,Democratic,strongly_support,inferred,"Orthodox Jewish assemblyman, Co-President of the National Association of Jewish Legislators. Signed the solidarity letter, supported Gov. Cuomo's anti-BDS executive order, and sent letters threatening action against BDS activity at SUNY campuses."
assembly,25,Nily Rozic,Democratic,strongly_support,inferred,"Israeli-born (first Israeli-born member of the NY State Legislature), has strongly condemned Hamas as a ""radical genocidal death cult,"" spoken against the BDS movement, sponsored pro-Israel resolutions, and marked the anniversary of Oct 7 with commemorative statements."
assembly,26,Edward C. Braunstein,Democratic,strongly_support,inferred,Signed the Israel solidarity letter and met with families of Oct 7 hostages alongside Assemblywoman Rozic. Represents Northeast Queens with a large Jewish community and advocates for pro-Israel issues.
assembly,27,Sam Berger,Democratic,strongly_support,inferred,"Orthodox Jewish assemblyman, grandson of Holocaust survivors, who studied at a yeshiva in Jerusalem. Signed the solidarity letter, introduced the HOPE Act to codify the IHRA antisemitism definition in NY law, and has been a vocal defender of the Jewish community against antisemitism and anti-Israel protests."
assembly,28,Andrew Hevesi,Democratic,support,inferred,Signed the Israel solidarity letter and has convened Jewish Leadership Breakfasts to address community concerns. Worked to secure $70 million for nonpublic school safety grants in response to post-Oct 7 antisemitism.
assembly,29,Alicia Hyndman,Democratic,support,inferred,"Has demonstrated solidarity with the Jewish community by condemning antisemitic attacks at a Queens synagogue event and by meeting with Orthodox Jewish advocates during Agudath Israel Albany mission, though has not made specific Israel/Palestine conflict statements."
assembly,30,Steven Raga,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,31,Khaleel M. Anderson,Democratic,oppose,inferred,"Called for a ceasefire in Gaza in February 2024, though with a conditional framing (""with the right controls in place""), placing him among NY elected officials publicly critical of the continuation of military operations."
assembly,32,Vivian E. Cook,Democratic,support,inferred,"Signed the bipartisan ""New York Legislators Stand with Israel"" solidarity letter in October 2023. Long-serving Democrat (35 years) from Southeast Queens; announced she will not seek reelection."
assembly,33,Clyde Vanel,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,34,Jessica Gonzalez-Rojas,Democratic,oppose,inferred,"DSA-aligned Assembly member who called for ceasefire on Oct 10, 2023 (three days after attack), supported Palestinian representation at DNC, and has been a vocal critic of Israeli military operations in Gaza."
assembly,35,Larinda C. Hooks,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,36,Diana C. Moreno,Democratic,strongly_oppose,inferred,"DSA member who succeeded Zohran Mamdani, engaged in civil disobedience protesting ""genocide in Gaza,"" participated in pro-Palestine demonstrations, and supports the Not on Our Dime Act."
assembly,37,Claire Valdez,Democratic,strongly_oppose,inferred,"DSA member who explicitly calls Israeli actions ""genocide"" and ""apartheid,"" supports BDS, co-sponsors Not on Our Dime Act, and calls for cutting all US military aid to Israel."
assembly,38,Jenifer Rajkumar,Democratic,strongly_support,inferred,"Described as having ""unwavering support of Israel,"" commended by Rabbinical Alliance for anti-antisemitism efforts, endorsed by Zioness Action Fund, and signed letter opposing legislation targeting Jewish charities with Israel connections."
assembly,39,Catalina Cruz,Democratic,oppose,inferred,"Called for an immediate ceasefire in Gaza, release of hostages, and expressed serious concerns about further US support that would perpetuate the war, indicating opposition to Israel's military campaign despite condemning Oct 7."
assembly,40,Ron Kim,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,41,Kalman Yeger,Democratic,strongly_support,inferred,"Among the most outspoken pro-Israel voices in the Assembly; famously tweeted ""Palestine does not exist,"" lost committee seat over it, and represents a large Orthodox Jewish constituency in Brooklyn."
assembly,42,Rodneyse Bichotte Hermelyn,Democratic,strongly_support,inferred,"As Brooklyn Democratic Party chair, issued strong condemnation of Hamas and statement of solidarity with Israel; spoke at ""South Brooklyn Stands with Israel"" rally; visited Israel and has consistent pro-Israel record."
assembly,43,Brian Cunningham,Democratic,support,inferred,"Withdrew endorsement from a congressional candidate who supported BDS, citing Israel's ""right to exist""; met with hostage families in Crown Heights and expressed support for Israel's self-defense."
assembly,44,Robert C. Carroll,Democratic,neutral,inferred,"Supports conditional ceasefire (once hostages released), believes there should be conditions on aid to Israel, refuses AIPAC money, but does not take strongly pro- or anti-Israel positions."
assembly,45,Michael Novakhov,Republican,strongly_support,inferred,"Republican Assembly member who hosted Oct 7 memorial vigil, immediately denounced the Hamas attack as terrorism, and has been vocal in support of Israel from his southern Brooklyn district."
assembly,46,Alec Brook-Krasny,Republican,strongly_support,inferred,"Republican Assembly member and advocate for the Jewish community who sponsored anti-antisemitism legislation, strongly condemned Oct 7, and stated Hamas must not control Gaza."
assembly,47,William Colton,Democratic,support,inferred,"Visited Israel on JCRC-sponsored trip, sponsored legislation increasing penalties for swastika vandalism, and has longstanding ties to the Jewish community in his Brooklyn district."
assembly,48,Simcha Eichenstein,Democratic,strongly_support,inferred,"First Chassidic Jewish Assembly member, represents Borough Park; called for action against anti-Israel protests, worked to bring home US citizens from Israel after Oct 7, and is deeply connected to the pro-Israel Orthodox community."
assembly,49,Lester Chang,Republican,strongly_support,inferred,"Self-described ""proud Jewish-American, lifelong Zionist and stalwart advocate for Israel"" who sponsored Oct 7 commemoration legislation and wears a yellow ribbon pin for hostages."
assembly,50,Emily Gallagher,Democratic,strongly_oppose,inferred,"DSA-backed Assembly member, co-sponsor of the ""Not on Our Dime"" Act targeting Israeli settlement funding, early ceasefire advocate, and co-introduced legislation to help New Yorkers stranded in Israel/Gaza/West Bank."
assembly,51,Marcela Mitaynes,Democratic,strongly_oppose,inferred,"DSA member arrested at pro-ceasefire protests, co-sponsor of ""Not on Our Dime"" Act, participated in statements referencing ""genocide in Gaza"" and ""Israeli apartheid,"" and has been a consistent vocal critic of Israel."
assembly,52,Jo Anne Simon,Democratic,neutral,inferred,Opposes BDS but criticizes Israel's military conduct as causing disproportionate civilian casualties; supports conditioning aid but acknowledges limited state-level role on foreign policy.
assembly,53,Maritza Davila,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,54,Erik M. Dilan,Democratic,support,inferred,"Supported by pro-Israel networks; campaign materials attacked opponents for poor ""voting records on Israel""; won against DSA-backed candidates with support from NYSN-affiliated figures."
assembly,55,Latrice M. Walker,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,56,Stefani Zinerman,Democratic,neutral,inferred,"Position is deliberately murky; received significant pro-Israel PAC funding (~$41K from Solidarity PAC) but has reportedly called for ceasefire (disputed); did not sign ""Not on Our Dime"" legislation."
assembly,57,Phara Souffrant Forrest,Democratic,strongly_oppose,inferred,"DSA member who used ""apartheid"" language about Israel, shared map erasing Israel, co-sponsored ""Not on Our Dime"" Act, called for unconditional ceasefire, and has been one of the most outspoken anti-Israel voices in the Assembly."
assembly,58,Monique Chandler-Waterman,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,59,Jaime R. Williams,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,60,Nikki Lucas,Democratic,neutral,inferred,Backed by pro-Israel-aligned groups against DSA candidates but no explicit personal statements on Israel/Palestine found; Israel was not a prominent campaign issue.
assembly,61,Charles D. Fall,Democratic,neutral,inferred,"First Muslim Assembly member who traveled to Israel with JCRC delegation to learn about the conflict, defended the trip against critics, and emphasized interfaith dialogue without taking a strongly pro- or anti-Israel position."
assembly,62,Michael Reilly,Republican,support,inferred,"Republican from Staten Island who likely attended the October 2023 bipartisan ""Stand with Israel"" rally at the Bernikow JCC on Staten Island, where elected officials from both parties pledged support for Israel. As a member of the Assembly Minority Conference, aligned with the conference's pro-Israel positions."
assembly,63,Sam Pirozzolo,Republican,support,inferred,"Republican Assembly member from Staten Island who was part of a statement calling the Oct 7 attack on Israel ""a war crime"" and expressing solidarity with Israel."
assembly,64,Michael Tannousis,Republican,support,inferred,"Republican from Staten Island/Brooklyn and chairman of the Staten Island Republican Party who likely attended the October 2023 bipartisan ""Stand with Israel"" rally at the Bernikow JCC. As part of the Assembly Minority Conference, aligned with pro-Israel positions."
assembly,65,Grace Lee,Democratic,support,inferred,"Fully supports Israel's right to defend itself and condemns Oct 7 attacks, while also criticizing far-right Israeli government and calling for humanitarian aid to Palestinian civilians and a two-state solution."
assembly,66,Deborah J. Glick,Democratic,support,inferred,"Long-serving Assembly member who strongly supports Israel's right to exist and has opposed BDS, though she blocked an anti-boycott bill in committee on academic freedom grounds."
assembly,67,Linda B. Rosenthal,Democratic,support,inferred,"Rosenthal led the pushback against the ""Not on Our Dime"" anti-settlement bill, co-organizing a letter signed by 66 Democratic Assembly members denouncing it as targeting Jewish charities. She also supported buffer zone legislation to protect Jewish institutions from protest harassment."
assembly,68,Edward Gibbs,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,69,Micah C. Lasher,Democratic,support,inferred,"Lasher has taken a mainstream pro-Israel Democratic stance, refusing to support arms cutoffs to Israel or call the Gaza war a ""genocide."" He was endorsed by the pro-Israel Solidarity PAC and has described himself as both ""a proud progressive and a proud Zionist."""
assembly,70,Jordan J.G. Wright,Democratic,support,inferred,"Wright was endorsed by the pro-Israel Solidarity PAC as part of their inaugural class of candidates. While deferring to foreign affairs experts on aid conditions, he received significant pro-Israel PAC funding."
assembly,71,Al Taylor,Democratic,support,inferred,"Signed the October 20, 2023 ""New York Legislators Stand with Israel"" bipartisan solidarity letter, which condemned the Oct 7 attacks as a ""war crime"" and pledged to ""continue to stand with Israel."""
assembly,72,Manny De Los Santos,Democratic,support,inferred,"De Los Santos was initially a cosponsor of the ""Not on Our Dime"" anti-settlement bill but reversed course, withdrew his name, and signed the letter condemning it as targeting Jewish charities. This reversal indicates he moved to a pro-Israel position."
assembly,73,Alex Bores,Democratic,support,inferred,"Bores opposes an arms embargo on Israel, opposed the ""Not on Our Dime"" bill, and supports a conditional ceasefire (requiring hostage return). He has been characterized as ""Progressive Except for Palestine."""
assembly,74,Keith Powers,Democratic,support,inferred,"Powers has been described as ""a true ally to the Jewish community"" and has a record of standing with Israel. He expressed relief at the Israel-Hamas ceasefire agreement while acknowledging civilian suffering."
assembly,75,Tony Simone,Democratic,support,inferred,Simone supports a conditional ceasefire that returns hostages and leads to a two-state solution. He agreed with Biden's moves to limit offensive weapons for a Rafah operation but has not called for a full arms embargo.
assembly,76,Rebecca A. Seawright,Democratic,support,inferred,"Seawright has hosted town halls on combating antisemitism, is a member of the Assembly's Jewish caucus, and has advocated for both Israeli security and Palestinian rights while supporting legislation to combat antisemitism."
assembly,77,Landon C. Dais,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,78,George Alvarez,Democratic,support,inferred,"Signed the October 20, 2023 ""New York Legislators Stand with Israel"" bipartisan solidarity letter, which condemned the Oct 7 attacks as a ""war crime"" and pledged to ""continue to stand with Israel."""
assembly,79,Chantel Jackson,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,80,"John Zaccaro, Jr.",Democratic,support,inferred,"Zaccaro was endorsed by the pro-Israel Solidarity PAC as an incumbent assemblymember, indicating alignment with pro-Israel positions."
assembly,81,Jeffrey Dinowitz,Democratic,strongly_support,inferred,"Dinowitz is one of the most outspoken pro-Israel members of the Assembly, strongly supporting Israel's right to defend itself ""without regard to proportionality,"" denouncing BDS as antisemitic, and supporting buffer zone legislation around Jewish institutions."
assembly,82,Michael Benedetto,Democratic,support,inferred,"Benedetto was endorsed by the pro-Israel Solidarity PAC as an incumbent assemblymember, indicating alignment with pro-Israel positions."
assembly,83,Carl E. Heastie,Democratic,neutral,inferred,"As Assembly Speaker, Heastie blocked a bipartisan bill commemorating Oct. 7 from reaching the floor, but also initially expressed concerns about Mamdani's pro-Palestinian views before eventually endorsing him for mayor. His approach has been cautious and politically calculated rather than ideologically driven."
assembly,84,Amanda Septimo,Democratic,strongly_support,inferred,"Septimo has strongly defended Israel's right to self-defense, opposed the ""Not on Our Dime"" bill as a ""disturbing effort to delegitimize Israel,"" visited Israel on an AIPAC-affiliated trip, and has repeatedly met with pro-Israel advocates."
assembly,85,Emerita Torres,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,86,Yudelka Tapia,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,87,Karines Reyes,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,88,Amy Paulin,Democratic,strongly_support,inferred,"Paulin is one of the most vocal pro-Israel members of the Assembly, with family in Israel. She ""stands firmly behind Israel"" and has called for America to ""stand unequivocally with Israel."" She is a member of the National Association of Jewish Legislators."
assembly,89,J. Gary Pretlow,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,90,Nader J. Sayegh,Democratic,neutral,inferred,"Sayegh, a Jordanian-American, issued statements on the Israel-Palestine crisis in both 2021 and 2023 but the specific content could not be confirmed. His Arab-American heritage and balanced public posture suggest a nuanced position, but insufficient detail is available."
assembly,91,Steven Otis,Democratic,support,inferred,"Otis partnered with Westchester colleagues to secure state funding for the Holocaust and Human Rights Education Center, suggesting alignment with the pro-Israel mainstream of Westchester Democrats, though no direct Israel statements were found."
assembly,92,MaryJane Shimsky,Democratic,support,inferred,"Westchester Democrat who secured $100K in state funding for the Holocaust & Human Rights Education Center in White Plains, demonstrating engagement with Jewish community concerns and Holocaust remembrance."
assembly,93,Chris Burdick,Democratic,strongly_support,inferred,"Signed the October 20, 2023 ""New York Legislators Stand with Israel"" bipartisan solidarity letter condemning the Oct 7 Hamas attack as a ""war crime"" and pledging to ""continue to stand with Israel."""
assembly,94,Matt Slater,Republican,strongly_support,inferred,"Slater (Republican) participated in a press conference demanding release of hostages held in Gaza, and has stated he continues to ""stand shoulder to shoulder with Jewish brothers and sisters"" following Oct. 7."
assembly,95,Dana Levenberg,Democratic,support,inferred,"Levenberg, a child of Holocaust survivors, strongly condemned Hamas's Oct. 7 attack, affirmed Israel's right to self-defense, and has collaborated with other Jewish legislators on antisemitism issues."
assembly,96,Patrick J. Carroll,Democratic,support,inferred,"Newly elected (Nov 2024) Rockland County Democrat who attended a Rockland County Agudath Israel of America event and commented publicly condemning an antisemitic attack on Temple Israel synagogue, indicating engagement with Jewish community concerns."
assembly,97,Aron Wieder,Democratic,support,inferred,"Wieder is a Hasidic (Belz) assemblymember who studied at rabbinical college in Israel and represents a majority-Orthodox district in Rockland County. While no explicit Israel policy statements were found, his Haredi community background strongly suggests pro-Israel alignment."
assembly,98,Karl Brabenec,Republican,strongly_support,inferred,"Brabenec (Republican) has made strong pro-Israel statements, describing Hamas as ""hellbent on removing Jewish people from the face of the earth"" and calling on every person to ""stand in solidarity with the people of Israel."""
assembly,99,Chris Eachus,Democratic,strongly_support,inferred,"Signed the October 20, 2023 ""New York Legislators Stand with Israel"" bipartisan solidarity letter condemning the Oct 7 Hamas attack as a ""war crime"" and pledging to ""continue to stand with Israel."""
assembly,100,Paula Elaine Kay,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,101,Brian Maher,Republican,support,inferred,"Republican assemblyman who cosponsored the ""Stop Anti-Semitism on College Campuses Act"" (A08284) in 2023, and as a member of the Assembly Minority Conference participated in the conference's collective pro-Israel stance and hostage release advocacy."
assembly,102,Chris Tague,Republican,strongly_support,inferred,"Tague praised the Trump-brokered Israel-Palestine peace deal as a ""game changer"" and called for the removal of assembly colleagues who voiced support for Hamas or the DSA, indicating strong pro-Israel alignment."
assembly,103,Sarahana Shrestha,Democratic,strongly_oppose,inferred,"DSA member who cosponsored the ""Not on Our Dime"" bill targeting Israeli settlement funding, called for an immediate ceasefire, criticized Governor Hochul's pro-Israel response as ""calling for more deaths and war crimes,"" and was one of the first to call for ceasefire in 2023."
assembly,104,Jonathan G. Jacobson,Democratic,strongly_support,inferred,"Signed the October 2023 ""New York Legislators Stand with Israel"" letter, which strongly condemned the Hamas attack and pledged solidarity with Israel and the Jewish state."
assembly,105,"Anil Beephan, Jr.",Republican,strongly_support,inferred,"Only US state legislator to attend the JNS International Policy Summit in Jerusalem (April 2025), works closely with Jewish Federation in Dutchess County, and has spoken against anti-Zionism in state politics."
assembly,106,Didi Barrett,Democratic,support,inferred,"Hudson Valley Democrat who received backing from Solidarity PAC, a pro-Israel political action committee, during her 2024 campaign. Described as one of the chamber's more conservative Democrats."
assembly,107,Scott Bendett,Republican,strongly_support,inferred,"Jewish Republican who signed the October 2023 ""Stand with Israel"" letter, expressed deep concern over Hamas attacks, and affirmed Israel as one of the US's strongest allies that ""deserves to exist without being terrorized."""
assembly,108,John T. McDonald III,Democratic,support,inferred,"Signed the October 2023 ""New York Legislators Stand with Israel"" letter, expressing solidarity with Israel after the Hamas attack."
assembly,109,Gabriella A. Romero,Democratic,support,inferred,"Albany County Democrat who introduced and championed the New York State Holocaust Memorial legislation (signed into law by Gov. Hochul), demonstrating strong engagement with Jewish community concerns and Holocaust remembrance."
assembly,110,Phil Steck,Democratic,support,inferred,"Signed the October 2023 ""Stand with Israel"" letter and affirms Israel's security must be ""paramount,"" though he is critical of West Bank settlements, calling them ""a disaster for the prospect of peace."""
assembly,111,Angelo Santabarbara,Democratic,neutral,unknown,No public Israel-related statements found after web research
assembly,112,Mary Beth Walsh,Republican,support,inferred,"Republican Assembly Minority Leader Pro Tempore who cosponsored multiple antisemitism bills in the 2025 session, including the Dismantling Student Antisemitism Act and the Combating Campus Antisemitism Act, and participates in the Assembly Minority Conference's collective pro-Israel positions."
assembly,113,Carrie Woerner,Democratic,support,inferred,"Signed the October 2023 ""New York Legislators Stand with Israel"" letter expressing solidarity with Israel after the Hamas attack."
assembly,114,Matthew Simpson,Republican,strongly_support,inferred,"Signed the October 2023 ""Stand with Israel"" letter and separately acknowledged the Trump-brokered Israel-Palestine peace deal, consistently expressing solidarity with Israel."
assembly,115,Michael Cashman,Democratic,neutral,unknown,No public Israel-related statements found after web research
